iter	Passed	Remaining
0	152	152462
1	156	78174
2	160	53449
3	165	41173
4	169	33678
5	171	28342
6	172	24526
7	174	21669
8	176	19440
9	178	17654
10	180	16189
11	181	14967
12	183	13934
13	185	13055
14	187	12290
15	188	11616
16	191	11046
17	192	10524
18	194	10049
19	196	9625
20	198	9241
21	200	8892
22	201	8572
23	203	8280
24	205	8011
25	207	7763
26	209	7533
27	210	7318
28	212	7116
29	214	6929
30	216	6753
31	217	6591
32	219	6437
33	221	6291
34	223	6156
35	225	6028
36	226	5907
37	228	5791
38	230	5680
39	232	5575
40	233	5472
41	235	5377
42	237	5285
43	239	5196
44	240	5112
45	242	5031
46	244	4955
47	246	4881
48	247	4810
49	249	4744
50	251	4678
51	253	4614
52	254	4555
53	256	4497
54	258	4441
55	260	4387
56	262	4335
57	263	4284
58	265	4237
59	267	4189
60	269	4142
61	270	4097
62	272	4053
63	274	4011
64	276	3973
65	278	3935
66	279	3896
67	280	3848
68	282	3811
69	284	3776
70	285	3741
71	287	3707
72	289	3675
73	291	3648
74	293	3622
75	295	3592
76	297	3561
77	298	3532
78	300	3506
79	302	3479
80	304	3458
81	307	3443
82	310	3428
83	312	3412
84	314	3385
85	316	3368
86	318	3338
87	319	3315
88	321	3292
89	323	3269
90	325	3247
91	326	3225
92	328	3203
93	330	3183
94	332	3162
95	333	3142
96	335	3122
97	337	3103
98	339	3085
99	340	3066
100	342	3048
101	343	3023
102	345	3006
103	346	2989
104	348	2972
105	350	2955
106	352	2939
107	353	2923
108	355	2908
109	357	2893
110	359	2878
111	361	2863
112	362	2848
113	364	2834
114	366	2820
115	367	2804
116	369	2790
117	371	2776
118	372	2760
119	374	2746
120	376	2734
121	378	2721
122	379	2702
123	380	2689
124	382	2677
125	384	2665
126	386	2653
127	387	2637
128	388	2626
129	390	2615
130	392	2604
131	394	2592
132	396	2581
133	397	2570
134	399	2560
135	401	2549
136	402	2538
137	404	2527
138	406	2516
139	408	2506
140	409	2496
141	411	2486
142	413	2476
143	415	2466
144	416	2457
145	418	2447
146	420	2437
147	421	2428
148	423	2419
149	425	2410
150	427	2401
151	428	2392
152	430	2383
153	432	2375
154	434	2370
155	437	2364
156	438	2356
157	440	2348
158	442	2339
159	444	2331
160	445	2322
161	447	2314
162	449	2306
163	450	2298
164	452	2292
165	454	2284
166	456	2277
167	458	2269
168	460	2262
169	461	2255
170	463	2247
